route_id,agency_id,route_short_name,route_long_name,route_type
"vvs-31-363-1","vvs-98","363","Backnang - Unterschöntal - Oberschöntal - Backnang","3"
"vvs-31-365-1","vvs-26","365","Oberbrüden - Unterweissach - Backnang","3"
"vvs-31-365a-1","vvs-26","365A","Oberbrüden - Bildungszentrum Weissach i.T. (Schülerverkehr)","3"
"vvs-31-366-1","vvs-26","366","Däfern - Hohnweiler - Lippoldsweiler - Oberbrüden - Steinbach - Backnang","3"
"vvs-31-367-1","vvs-26","367","Kleinaspach - Großaspach - Backnang","3"
"vvs-31-367a-1","vvs-26","367A","Kleinaspach - Großaspach - Backnang (Schülerverkehr)","3"
"vvs-31-368-1","vvs-98","368","Staigacker - Backnang","3"
"vvs-31-368a-1","vvs-98","368A","Strümpfelbach - Tausschule (Schülerverkehr)","3"
"vvs-31-369-1","vvs-98","369","(Maubach Bf - Heiningen -) Industriegebiet Süd - Backnang ZOB","3"
"vvs-31-370-1","vvs-98","370","Murrbäder - Gartenstraße - Biegel - Backnang ZOB","3"
"vvs-31-372-1","vvs-88","372","Mainhardt - Großerlach - Grab - Murrhardt (inkl. Limesbus Nord)","3"
"vvs-31-373-1","vvs-88","373","Murrhardt - Klingen - Sechselberg - Mettelberg - Murrhardt","3"
"vvs-31-374-1","vvs-88","374","Murrhardt - Siegelsb. -  Hinterbüchelb. - Waltersb. - Murrhardt","3"
"vvs-31-375-1","vvs-88","375","Welzheim - Kaisersbach - Kirchenkirnberg - Murrhardt (inkl. Limesbus Süd)","3"
"vvs-31-377-1","vvs-88","377","Grab - Mannenweiler - Murrhardt","3"
"vvs-31-380-1","vvs-88","380","Mainhardt - Großerlach - Sulzbach (M)","3"
"vvs-31-380a-1","vvs-88","380A","Sulzbach (M) - Zwerenberg - Eschenstruet - Sulzbach (M)","3"
"vvs-31-381-1","vvs-26","381","Backnang - Auenwald - Weissach i.T. - Backnang","3"
"vvs-31-382-1","vvs-26","382","Althütte - Auenwald - Weissach i.T. - Backnang","3"
"vvs-31-382a-1","vvs-26","382A","Althütte - Auenwald - Weissach i.T. - Backnang","3"
"vvs-31-383-1","vvs-26","383","Backnang - Allmersbach i.T. - Unterweissach (- Oberb.)","3"
"vvs-31-384-1","vvs-26","384","Althütte - Weissach i.T. - Backnang","3"
"vvs-31-385-1","vvs-88","385","Wüstenrot - Sulzbach (M) (inkl. Räuberbus)","3"
"vvs-31-386-1","vvs-88","386","Spiegelberger Teilorte - Spiegelberg - Sulzbach (M)","3"
"vvs-31-390-1","vvs-88","390","Murrhardt - Sulzbach (M) - Backnang","3"
"vvs-31-390a-1","vvs-88","390A","Murrhardt - Sulzbach (M) - Backnang","3"
"vvs-31-391-1","vvs-88","391","Zell - Aichelbach - Oppenweiler","3"
"vvs-31-393-1","vvs-26","393","Rudersberg - Allmersbach i.T. - Backnang (Fahrrad2Go)","3"
"vvs-31-402-1","vvs-83","402","Pattonville - Neckargröningen Stadtbahn - Hochdorf","3"
"vvs-31-402a-1","vvs-83","402A","Schülerverkehr Remseck","3"
