agency_id,agency_name,agency_url,agency_timezone
"din-70","BBS Mittelschwaben","https://www.ding.eu","Europe/Berlin"
"din-71","Braunmiller","https://www.ding.eu","Europe/Berlin"
"sw1-213001007","OST Gammertingen","https://www.sweg.de","Europe/Berlin"
"sw1-8","Dußlingen","https://www.sweg.de","Europe/Berlin"
"sw1-4","Süd Weil am Rhein Lörrach","https://www.sweg.de","Europe/Berlin"
"sw1-2","Süd Breisgau Kaiserstuhl","https://www.sweg.de","Europe/Berlin"
"oam-1","OVA-Aalen","https://www.ostalbmobil.de","Europe/Berlin"
"oam-20","Betrieb","https://www.ostalbmobil.de","Europe/Berlin"
"oam-21","OVA-Bopfingen","https://www.ostalbmobil.de","Europe/Berlin"
"oam-30","OK.go","https://www.ostalbmobil.de","Europe/Berlin"
"oam-35","Beck+Schubert","https://www.ostalbmobil.de","Europe/Berlin"
"oam-40","FMO","https://www.ostalbmobil.de","Europe/Berlin"
"oam-50","OstalbMobil GmbH","https://www.ostalbmobil.de","Europe/Berlin"
"oam-98","Omnibus Dannenmann GmbH","https://www.ostalbmobil.de","Europe/Berlin"
"vsh-6003","KreisVerkehr Schwäbisch Hall GmbH","https://kreisverkehr-sha.de","Europe/Berlin"
"vsh-6010","Stadtbus Schwäbisch Hall GmbH","https://kreisverkehr-sha.de","Europe/Berlin"
"vsh-6008","RÖHLER Touristik GmbH","https://kreisverkehr-sha.de","Europe/Berlin"
"vsh-6007","Friedrich Müller Omnibusunternehmen GmbH","https://kreisverkehr-sha.de","Europe/Berlin"
"vsh-6006","Hofmann Omnibusverkehr GmbH","https://kreisverkehr-sha.de","Europe/Berlin"
"nvb-05","Stadtwerke Konstanz","http://www.nvbw.de","Europe/Berlin"
"nvb-DE","Condor Flugdienst","http://www.nvbw.de","Europe/Berlin"
"nvb-EW","Eurowings","http://www.nvbw.de","Europe/Berlin"
"nvb-X3","TUIFly","http://www.nvbw.de","Europe/Berlin"
"rmv-SAUTER","Omnibus Sauter","https://www.rmv.de","Europe/Berlin"
"rmv-WISSMÜ","Busverkehr Wissmüller","https://www.rmv.de","Europe/Berlin"
"frb-1","Freiburger Verkehrs AG","https://www.vag-freiburg.de","Europe/Berlin"
"frb-3","Tuniberg Express","https://www.vag-freiburg.de","Europe/Berlin"
"bvb-1","BVB","http://www.nvbw.de","Europe/Berlin"
"sbb-65","THURBO","http://www.nvbw.de","Europe/Berlin"
"sbb-11","Schweizerische Bundesbahnen SBB","http://www.nvbw.de","Europe/Berlin"
"sbb-846","Verkehrsbetriebe Schaffhausen","http://www.nvbw.de","Europe/Berlin"
"sbb-7231","SBB Infrastruktur AG Bahnersatz","http://www.nvbw.de","Europe/Berlin"
"sbb-360","Bodensee-Schiffsbetriebe GmbH","http://www.nvbw.de","Europe/Berlin"
"sbb-195","Schweizerische Bodensee-Schifffahrt AG","http://www.nvbw.de","Europe/Berlin"
"sbb-193","Schweiz. Schifffahrtsgesellschaft Untersee und Rhein AG","http://www.nvbw.de","Europe/Berlin"
"sbb-3182","Solarfährbetrieb Thomas Geiger Reichenau","http://www.nvbw.de","Europe/Berlin"
"sbb-801","PostAuto AG","http://www.nvbw.de","Europe/Berlin"
"stv-91","Sonstige Verkehrsunternehmen","http://www.nvbw.de","Europe/Berlin"
"obb-01","OEBB Personenverkehr AG Kundenservice","http://www.nvbw.de","Europe/Berlin"
"obb-04","Deutsche Bahn AG","http://www.nvbw.de","Europe/Berlin"
"als-450","Fluo Grand Est 67","http://www.nvbw.de","Europe/Berlin"
"als-48","Lignes de Haute-Alsace","http://www.nvbw.de","Europe/Berlin"
"bel-NMBS/SNCB","NMBS/SNCB","http://www.nvbw.de","Europe/Berlin"
"ddb-GA","Arverio Baden-Württemberg","http://www.nvbw.de","Europe/Berlin"
"ddb-00","DB AG","http://www.nvbw.de","Europe/Berlin"
"ddb-GY","Arverio Bayern","http://www.nvbw.de","Europe/Berlin"
"ddb-A9","agilis","http://www.nvbw.de","Europe/Berlin"
"ddb-sbg","Südbadenbus","http://www.nvbw.de","Europe/Berlin"
"ddb-S6","Südwestdeutsche Verkehrs-GmbH","http://www.nvbw.de","Europe/Berlin"
"ddb-L7","SBB GmbH","http://www.nvbw.de","Europe/Berlin"
"ddb-SBS","DB Regio Stuttgart GmbH","http://www.nvbw.de","Europe/Berlin"
"ddb-L712","SBB GmbH","http://www.nvbw.de","Europe/Berlin"
"ddb-857231","SBB","http://www.nvbw.de","Europe/Berlin"
"ddb-800603","DB RegioNetz Verkehrs GmbH Westfrankenbahn","http://www.nvbw.de","Europe/Berlin"
"ddb-F7","Bodensee-Oberschwaben-Bahn","http://www.nvbw.de","Europe/Berlin"
"ddb-L721","SBB GmbH","http://www.nvbw.de","Europe/Berlin"
"ddb-V7","SVG Schienenverkehrsgesellschaft Stuttgart","http://www.nvbw.de","Europe/Berlin"
"ddb-R4","VIAS Rail GmbH","http://www.nvbw.de","Europe/Berlin"
"ddb-8007DU","DB Regio AG Bayern","http://www.nvbw.de","Europe/Berlin"
"ddb-8007D4","DB Regio AG Bayern","http://www.nvbw.de","Europe/Berlin"
"ddb-C6","Kandertalbahn","http://www.nvbw.de","Europe/Berlin"
"ddb-W6","Wutachtalbahn","http://www.nvbw.de","Europe/Berlin"
"ddb-O7","Öchsle-Bahn-Betriebsgesellschaft mbH","http://www.nvbw.de","Europe/Berlin"
"ddb-800640","DB Regio AG Mitte SÜWEX","http://www.nvbw.de","Europe/Berlin"
"ddb-8005","DB Regio AG Mitte","http://www.nvbw.de","Europe/Berlin"
"ddb-850065","THURBO","http://www.nvbw.de","Europe/Berlin"
"ddb-800622","DB Regio AG Baden-Württemberg","http://www.nvbw.de","Europe/Berlin"
"ddb-85","SBB","http://www.nvbw.de","Europe/Berlin"
"ddb-800654","DB Regio AG Baden-Württemberg","http://www.nvbw.de","Europe/Berlin"
"ddb-SAB","Schwäbische Alb-Bahn","http://www.nvbw.de","Europe/Berlin"
"ddb-L701","SBB GmbH","http://www.nvbw.de","Europe/Berlin"
"ddb-800714","DB Regio AG Bayern","http://www.nvbw.de","Europe/Berlin"
"ddb-U7","Ulmer Eisenbahnfreunde","http://www.nvbw.de","Europe/Berlin"
"ddb-NZ","DB Fernverkehr AG","http://www.nvbw.de","Europe/Berlin"
"ddb-800721","DB Regio AG Bayern","http://www.nvbw.de","Europe/Berlin"
"bus-13036","FlixTrain-de","https://www.flixbus.de/","Europe/Berlin"
"bus-8533","FlixBus-de","https://www.flixbus.de/","Europe/Berlin"
